followers_count,urls,created_at,text
1230,[],Sat Apr 08 21:24:24 +0000 2017,RT @meghafon: Nice day working on my side project iOS app: combines \xf0\x9f\x9a\xb4\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x9a\xb4 + machine learning + gpu programming + @graphcool. stay tuned fr\xe2\x80\xa6
1122,[],Sat Apr 08 01:54:25 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
1095,[],Sat Apr 08 21:16:13 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
1077,[],Sat Apr 08 21:25:20 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
1002,[],Sat Apr 08 21:10:13 +0000 2017,"RT @Ronald_vanLoon: 60+ Free Books on Big Data, Data Science, Data Mining, Machine Learning, Python, R, and more | #DataScience #Bookf\xe2\x80\xa6 "
901,[],Sat Apr 08 21:27:58 +0000 2017,RT @awscloud: Discover a detailed overview of Machine Learning &amp; Deep Learning using AWS in the @NSF webinar.\xe2\x80\xa6 
843,[],Sat Apr 08 01:51:30 +0000 2017,RT @byronreese: 78 free lessons on artificial neural networks &amp; machine learning by Prof. Geoffrey Hinton in 2012. #ML https://t.co/E7dBwyi\xe2\x80\xa6
823,[],Sat Apr 08 02:15:06 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
728,[],Sat Apr 08 02:08:03 +0000 2017,@mmitchell_ai SETI@Home for Machine Learning &lt;circa 2017&gt;
664,[],Sat Apr 08 01:56:31 +0000 2017,RT byronreese: 78 free lessons on artificial neural networks &amp; machine learning by Prof. Geoffrey Hinton in 2012. #ML \xe2\x80\xa6
539,[],Sat Apr 08 21:27:55 +0000 2017,RT @DeepLearn007: #deeplearning vs. #machinelearning \xe2\x80\x93 the essential differences you need to know! #AI #ML #DL #bigdata #tech\xe2\x80\xa6 
538,[],Sat Apr 08 02:12:03 +0000 2017,RT @Barrabesbiz: El Machine Learning va a impactar en tu negocio. Descubre por qu\xc3\xa9 el pr\xc3\xb3ximo 11 de mayo en nuestro evento #2ML17\xe2\x80\xa6 
505,[],Sat Apr 08 02:10:49 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
504,[],Sat Apr 08 21:01:58 +0000 2017,"RT @Ronald_vanLoon: 60+ Free Books on Big Data, Data Science, Data Mining, Machine Learning, Python, R, and more | #DataScience #Bookf\xe2\x80\xa6 "
487,[],Sat Apr 08 21:26:19 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
452,[],Sat Apr 08 02:11:22 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
422,[],Sat Apr 08 02:10:26 +0000 2017,"Sock puppet accounts unmasked by the way they write and post - ""researchers created a machine learning tool that can detect if two accounts\xe2\x80\xa6"
388,[],Sat Apr 08 01:56:43 +0000 2017,RT @byronreese: 78 free lessons on artificial neural networks &amp; machine learning by Prof. Geoffrey Hinton in 2012. #ML https://t.co/E7dBwyi\xe2\x80\xa6
368,[],Sat Apr 08 21:18:46 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
345,[],Sat Apr 08 01:46:17 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
335,[],Sat Apr 08 01:52:53 +0000 2017,RT @byronreese: 78 free lessons on artificial neural networks &amp; machine learning by Prof. Geoffrey Hinton in 2012. #ML https://t.co/E7dBwyi\xe2\x80\xa6
331,[],Sat Apr 08 02:11:03 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
329,[],Sat Apr 08 21:16:38 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
288,[],Sat Apr 08 02:11:24 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
287,[],Sat Apr 08 02:13:02 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
279,[],Sat Apr 08 01:14:11 +0000 2017,RT @DeepLearn007: #machinelearning as a service to hit nearly $20B by 2025\n#AI #fintech #bigdata #retail #healthcare #ML #tech\xe2\x80\xa6 
279,[],Sat Apr 08 01:14:21 +0000 2017,RT @DeepLearn007: #machinelearning predicts the look of stem cells\n#AI #deeplearning #ML #DL #cancer #healthcare #science #tech\xe2\x80\xa6 
255,[],Sat Apr 08 02:14:54 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
254,[],Sat Apr 08 21:23:14 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
253,[],Sat Apr 08 21:12:13 +0000 2017,RT @quepasachico: How #machinelearning could change business - less fear of robots taking jobs - machines giving us jobs - https://t.co/uFS\xe2\x80\xa6
246,[],Sat Apr 08 21:18:35 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
242,[],Sat Apr 08 01:49:44 +0000 2017,RT @IBMIIG: Learn how organizations can take machine learning to the enterprise w/ @danhernandezATX on 4/11 in Dallas. Register\xe2\x80\xa6 
231,[],Sat Apr 08 21:05:18 +0000 2017,"RT @Ronald_vanLoon: 60+ Free Books on Big Data, Data Science, Data Mining, Machine Learning, Python, R, and more | #DataScience #Bookf\xe2\x80\xa6 "
226,[],Sat Apr 08 01:51:17 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
225,[],Sat Apr 08 01:49:10 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
205,[],Sat Apr 08 02:01:32 +0000 2017,"RT @harshjegadeesan: SAP Clea machine learning #APIs are now available on the #SAPAPIBusinessHub on @sapcp, see here: https://t.co/24IuOzbY\xe2\x80\xa6"
193,[],Sat Apr 08 02:05:24 +0000 2017,"RT @drdanwhite: Largest public collection of 3D stem cells, +the first-ever AI/machine learning model predicting cells organisation https:/\xe2\x80\xa6"
189,[],Sat Apr 08 01:56:28 +0000 2017,RT @byronreese: 78 free lessons on artificial neural networks &amp; machine learning by Prof. Geoffrey Hinton in 2012. #ML https://t.co/E7dBwyi\xe2\x80\xa6
188,[],Sat Apr 08 21:28:47 +0000 2017,Computer programs that learn and adapt are part of the emerging field of artificial intelligence and machine learning.
170,[],Sat Apr 08 21:27:07 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
